,Company,Date Joined,Industry,City,Continent,Year Founded,Funding,Valuation (March) ($B),Select Investors (March),Valuation (November) ($B),Select Investors (November)
0,SpaceX,2012-12-01,Other,Hawthorne,North America,2002,$7B,3.397312859884837,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures",127.0,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures"
1,SHEIN,2018-07-03,E-commerce & direct-to-consumer,Shenzhen,Asia,2008,$2B,100.0,"Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners",100.0,"Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners"
2,Stripe,2014-01-23,FinTech,San Francisco,North America,2010,$2B,95.0,"Khosla Ventures, LowercaseCapital, capitalG",3.1652201257861634,"Khosla Ventures, LowercaseCapital, capitalG"
3,Klarna,2011-12-12,Fintech,Stockholm,Europe,2005,$4B,3.397312859884837,"Institutional Venture Partners, Sequoia Capital, General Atlantic",6.7,"Institutional Venture Partners, Sequoia Capital, General Atlantic"
4,Canva,2018-01-08,Internet software & services,Surry Hills,Oceania,2012,$572M,40.0,"Sequoia Capital China, Blackbird Ventures, Matrix Partners",3.1652201257861634,"Sequoia Capital China, Blackbird Ventures, Matrix Partners"
5,Checkout.com,2019-05-02,Fintech,London,Europe,2012,$2B,3.397312859884837,"Tiger Global Management, Insight Partners, DST Global",40.0,"Tiger Global Management, Insight Partners, DST Global"
6,Instacart,2014-12-30,"Supply chain, logistics, & delivery",San Francisco,North America,2012,$3B,39.0,"Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund",3.1652201257861634,"Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund"
7,JUUL Labs,2017-12-20,Consumer & retail,San Francisco,North America,2015,$14B,38.0,Tiger Global Management,3.1652201257861634,Tiger Global Management
8,Databricks,2019-02-05,Data management and analytics,San Francisco,North America,2013,$3B,38.0,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures",38.0,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures"
9,Revolut,2018-04-26,Fintech,London,Europe,2015,$2B,3.397312859884837,"index Ventures, DST Global, Ribbit Capital",33.0,"index Ventures, DST Global, Ribbit Capital"
10,Epic Games,2018-10-26,Other,Cary,North America,1991,$7B,32.0,"Tencent Holdings, KKR, Smash Ventures",3.1652201257861634,"Tencent Holdings, KKR, Smash Ventures"
